Nome Reduzido,Número Código
BCO FICSA S.A.,626
SAGITUR CC LTDA,270
BCO SOCIETE GENERALE BRASIL,366
MAGLIANO S.A. CCVM,113
TULLETT PREBON BRASIL CVC LTDA,131
C.SUISSE HEDGING-GRIFFO CV S/A,11
BCO PAULISTA S.A.,611
BOFA MERRILL LYNCH BM S.A.,755
CCR REG MOGIANA,89
BCO PINE S.A.,643
EASYNVEST – TÍTULO CV SA,140
BCO DAYCOVAL S.A,707
CAROL DTVM LTDA.,288
RENASCENCA DTVM LTDA,101
DEUTSCHE BANK S.A.BCO ALEMAO,487
BANCO CIFRA,233
GUIDE,177
BCO RENDIMENTO S.A.,633
BCO BS2 S.A.,218
BCO OLÉ BONSUCESSO CONSIGNADO S.A.,169
LASTRO RDV DTVM LTDA,293
FRENTE CC LTDA.,285
B&T CC LTDA.,80
NOVO BCO CONTINENTAL S.A. – BM,753
BCO CRÉDIT AGRICOLE BR S.A.,222
CCR COOPAVEL,281
BANCO SISTEMA,754
CREDIALIANÇA CCR,98
BCO VR S.A.,610
BCO OURINVEST S.A.,712
CREDICOAMO,10
RB CAPITAL INVESTIMENTOS DTVM LTDA.,283
BCO SANTANDER (BRASIL) S.A.,33
BANCO JOHN DEERE S.A.,217
BCO DO ESTADO DO RS S.A.,41
ADVANCED CC LTDA,117
BCO A.J. RENNER S.A.,654
BANCO ORIGINAL,212
DECYSEO CC LTDA.,289
